year,importer1,importer2,flow1,flow2
2000,United States of America,Canada,229191,169068
2000,United States of America,Mexico,135080,140288
2000,United States of America,Japan,149520,72514
2000,United States of America,China,119416.6,37045.38
2000,China,Japan,68849.03,56847.16
2000,France,Germany,55121.5,47914.6
2000,United States of America,Germany,59480.5,42791.4
2000,United States of America,United Kingdom,43676.8,44996.5
2000,Netherlands,Germany,35437.3,44108.7
2000,United Kingdom,Germany,42230.4,34910.9
2000,Germany,Italy,33452.6,41164
2000,United States of America,South Korea,40911,29286.1
2000,United States of America,Taiwan,34814.3,25125.35
2000,France,Italy,28736.5,26828
2000,Taiwan,Japan,38556.95,16599.06
2000,United States of America,France,30084.4,24556.8
2000,Belgium,France,22331.5,32017.2
2000,United Kingdom,France,26928.8,26658.5
2000,Belgium,Germany,28691.4,24076.9
2000,South Korea,Japan,31827.9,20453.6
2000,Germany,Austria,19133,31572.8
2000,Netherlands,Belgium,18646.3,30416
2000,China,South Korea,34004.7,14060.72
2000,France,Spain,22083,25581.2
2000,United Kingdom,Netherlands,22969.9,19408.1
2000,Switzerland,Germany,24030.9,17573.2
2000,United States of America,Singapore,19630.4,20270
2000,United States of America,Malaysia,25990,13668.1
2000,United States of America,Italy,26000.8,12452.8
2000,Germany,Japan,24532.5,12732.5
2000,Spain,Germany,21675.3,14516.5
2000,Netherlands,France,11405.7,24697.5
2000,Malaysia,Singapore,11763.3,22847.6
2000,Germany,China,19430.13,14275.72
2000,United States of America,Netherlands,9954.3,21925.5
2000,Japan,Malaysia,14490.4,17330.7
2000,United Kingdom,Ireland,14453.4,16924.8
2000,United Kingdom,Belgium,15246.1,15113.3
2000,Japan,Singapore,6426.12,23188.7
2000,United States of America,Brazil,14393.1,14302.6
2000,United Kingdom,Italy,14670.7,12799.5
2000,China,Singapore,15959.5,10643.15
2000,Japan,Thailand,10595.2,15315.2
2000,Japan,Australia,14774.3,9786.31
2000,United Kingdom,China,16855.54,7683.89
2000,United States of America,Thailand,17161.4,7291.13
2000,United States of America,Venezuela,18612.1,5780.09
2000,United States of America,Ireland,15825,8200.46
2000,United States of America,Belgium,10149.9,13282.8
2000,All Other Trade,All Other Trade,11842.6,11414.8
2000,All Other Trade,All Other Trade,10966,11701.1
2000,All Other Trade,All Other Trade,15906.7,6580.3
2000,All Other Trade,All Other Trade,9480.37,12856.9
2000,All Other Trade,All Other Trade,12314.9,9693.94
2000,All Other Trade,All Other Trade,16371,5397.25
2000,All Other Trade,All Other Trade,6692.7,14897.4
2000,All Other Trade,All Other Trade,12285.2,8688.86
2000,All Other Trade,All Other Trade,14216.4,6412.84
2000,All Other Trade,All Other Trade,14301.8,5831.78
2000,All Other Trade,All Other Trade,5648.91,13965.3
2000,All Other Trade,All Other Trade,12899.8,6645.5
2000,All Other Trade,All Other Trade,9133.87,10320.2
2000,All Other Trade,All Other Trade,9538.97,8435.48
2000,All Other Trade,All Other Trade,9744.08,8213.2
2000,All Other Trade,All Other Trade,7943.68,9408.77
2000,All Other Trade,All Other Trade,3164.22,14187.9
2000,All Other Trade,All Other Trade,13364.5,3895.68
2000,All Other Trade,All Other Trade,2433.7,14814.8
2000,All Other Trade,All Other Trade,10698.5,6472.89
2000,All Other Trade,All Other Trade,6864.73,9478.85
2000,All Other Trade,All Other Trade,9600.31,6243.35
2000,All Other Trade,All Other Trade,7668.86,7825.84
2000,All Other Trade,All Other Trade,9940.06,5501.65
2000,All Other Trade,All Other Trade,9718.2,4889.56
2000,All Other Trade,All Other Trade,11097.4,3393.27
2000,All Other Trade,All Other Trade,8155.41,6206.98
2000,All Other Trade,All Other Trade,7411.03,6946.39
2000,All Other Trade,All Other Trade,7785.81,6410.01
2000,All Other Trade,All Other Trade,11034.3,3152.25
2000,All Other Trade,All Other Trade,9467.43,4632.64
2000,All Other Trade,All Other Trade,7527.8,6478.45
2000,All Other Trade,All Other Trade,9698.49,4078.41
2000,All Other Trade,All Other Trade,7189.56,6511.26
2000,All Other Trade,All Other Trade,7113.2,6556.2
2000,All Other Trade,All Other Trade,8799.82,4813.47
2000,All Other Trade,All Other Trade,3660.62,9681.21
2000,All Other Trade,All Other Trade,3009.7,10061.2
2000,All Other Trade,All Other Trade,6862.39,6127.43
2000,All Other Trade,All Other Trade,8526.88,4418.22
2000,All Other Trade,All Other Trade,8987.938,3907.641
2000,All Other Trade,All Other Trade,5686.88,7198.21
2000,All Other Trade,All Other Trade,6048.1,6607.35
2000,All Other Trade,All Other Trade,10185.9,2004.81
2000,All Other Trade,All Other Trade,7875.13,4262.55
2000,All Other Trade,All Other Trade,9856.31,2219.3
2000,All Other Trade,All Other Trade,8862.19,2746.3
2000,All Other Trade,All Other Trade,5933.9,5313.18
2000,All Other Trade,All Other Trade,7219.4,4011.48
2000,All Other Trade,All Other Trade,4407.91,6698.39
2000,All Other Trade,All Other Trade,10349.7,660.05
2000,All Other Trade,All Other Trade,5964.75,4986.11
2000,All Other Trade,All Other Trade,5471.28,5472.13
2000,All Other Trade,All Other Trade,4474.4,6307.21
2000,All Other Trade,All Other Trade,1013.35,9641.49
2000,All Other Trade,All Other Trade,5247.47,5325.55
2000,All Other Trade,All Other Trade,7830,2703.25
2000,All Other Trade,All Other Trade,5013.648,5455.513
2000,All Other Trade,All Other Trade,4217.429,6223.112
2000,All Other Trade,All Other Trade,4936.06,5426.93
2000,All Other Trade,All Other Trade,4557.9,5626.47
2000,All Other Trade,All Other Trade,5029.11,5138.03
