year,importer1,importer2,flow1,flow2
2000,"Austria","China",875.49,1341.69
2000,"Austria","Italy",4936.06,5426.93
2000,"Austria","Japan",1107.05,870.89
2000,"Austria","Other Trade",14263.74,13343.71
2000,"Austria","South Korea",258.17,244.86
2000,"Austria","Taiwan",415.9595,243.9283
2000,"Belgium","Austria",1076.48,1803.39
2000,"Belgium","China",4391.76,2901.98
2000,"Belgium","France",22331.5,32017.2
2000,"Belgium","Germany",28691.4,24076.9
2000,"Belgium","Italy",6864.73,9478.85
2000,"Belgium","Japan",5144.74,1828.98
2000,"Belgium","Other Trade",34051.46,35480.23
2000,"Belgium","South Korea",971.02,666.34
2000,"Belgium","Spain",3187.63,5014.11
2000,"Belgium","Taiwan",897.0128,549.6667
2000,"Canada","Austria",537.54,446.52
2000,"Canada","Belgium",724.09,1388.91
2000,"Canada","China",9467.43,4632.64
2000,"Canada","France",3087.14,1929.69
2000,"Canada","Germany",5567.96,3189.98
2000,"Canada","Italy",2725.76,1776.66
2000,"Canada","Japan",12285.2,8688.86
2000,"Canada","Mexico",8526.88,4418.22
2000,"Canada","Netherlands",937.55,1151.62
2000,"Canada","Other Trade",26977.63,14607.24
2000,"Canada","South Korea",3824.68,2107.79
2000,"Canada","Spain",701.58,557.18
2000,"Canada","Taiwan",1882.115,1273.453
2000,"Canada","United Kingdom",9600.31,6243.35
2000,"China","Japan",68849.03,56847.16
2000,"China","Other Trade",58704.15,41361.6
2000,"China","South Korea",34004.7,14060.72
2000,"China","Taiwan",4217.429,6223.112
2000,"France","Austria",2656.56,2708.91
2000,"France","China",8155.41,6206.98
2000,"France","Germany",55121.5,47914.6
2000,"France","Italy",28736.5,26828
2000,"France","Japan",7785.81,6410.01
2000,"France","Other Trade",75277.87,71994.92
2000,"France","South Korea",1871.67,2246.65
2000,"France","Spain",22083,25581.2
2000,"France","Taiwan",1637.506,1830.01
2000,"Germany","Austria",19133,31572.8
2000,"Germany","China",19430.13,14275.72
2000,"Germany","Italy",33452.6,41164
2000,"Germany","Japan",24532.5,12732.5
2000,"Germany","Other Trade",135777.8,133084.8
2000,"Germany","South Korea",5341.38,4624.66
2000,"Italy","China",6862.39,6127.43
2000,"Italy","Japan",5933.9,5313.18
2000,"Italy","Other Trade",60733.8,48366.09
2000,"Italy","South Korea",2074.44,1637.86
2000,"Italy","Taiwan",1484.422,1391.379
2000,"Japan","Other Trade",80224.71,86095.2
2000,"Mexico","Austria",194.51,74.47
2000,"Mexico","Belgium",0,433.09
2000,"Mexico","China",3679.05,676.2
2000,"Mexico","France",1613.28,553
2000,"Mexico","Germany",6334.26,1349.18
2000,"Mexico","Italy",2034.29,317.57
2000,"Mexico","Japan",7112.26,2388.26
2000,"Mexico","Netherlands",399.4,642.05
2000,"Mexico","Other Trade",15366.37,7857.12
2000,"Mexico","South Korea",4059.42,377.95
2000,"Mexico","Spain",1573.02,1492.72
2000,"Mexico","Taiwan",1216.302,554.8332
2000,"Mexico","United Kingdom",1200.38,949.67
2000,"Netherlands","Austria",1193.67,3104.32
2000,"Netherlands","Belgium",18646.3,30416
2000,"Netherlands","China",9856.31,2219.3
2000,"Netherlands","France",11405.7,24697.5
2000,"Netherlands","Germany",35437.3,44108.7
2000,"Netherlands","Italy",5648.91,13965.3
2000,"Netherlands","Japan",10185.9,2004.81
2000,"Netherlands","Other Trade",54289.31,40558.98
2000,"Netherlands","South Korea",2308.16,1171.05
2000,"Netherlands","Spain",4407.91,6698.39
2000,"Netherlands","Taiwan",4933.792,2087.287
2000,"Other Trade","Austria",4902.18,4997.73
2000,"Other Trade","Belgium",2401.29,6939.83
2000,"Other Trade","China",36080.49,44362.06
2000,"Other Trade","France",8910.2,13767.76
2000,"Other Trade","Germany",44515.67,42358.99
2000,"Other Trade","Italy",27213.5,23899.55
2000,"Other Trade","Japan",45329.79,82275.51
2000,"Other Trade","Mexico",973.62,178.88
2000,"Other Trade","Netherlands",3847.47,9665.17
2000,"Other Trade","Other Trade",301614.7,330736.2
2000,"Other Trade","South Korea",20556.07,37780.14
2000,"Other Trade","Spain",7203.13,8502.79
2000,"Other Trade","Taiwan",10476.47,16603.2
2000,"Other Trade","United Kingdom",3425.02,5469.42
2000,"South Korea","Japan",31827.9,20453.6
2000,"South Korea","Other Trade",26319.17,22945.48
2000,"Spain","Austria",1500.89,770.7
2000,"Spain","China",4051.68,1120.18
2000,"Spain","Germany",21675.3,14516.5
2000,"Spain","Italy",12314.9,9693.94
2000,"Spain","Japan",3347.62,1363.33
2000,"Spain","Other Trade",34134.03,27173.66
2000,"Spain","South Korea",1624.15,291.48
2000,"Spain","Taiwan",836.8398,303.3318
2000,"Taiwan","Japan",38556.95,16599.06
2000,"Taiwan","Other Trade",24759.63,22313.83
2000,"Taiwan","South Korea",8987.938,3907.641
2000,"United Kingdom","Austria",2143.75,1834.01
2000,"United Kingdom","Belgium",15246.1,15113.3
2000,"United Kingdom","China",16855.54,7683.89
2000,"United Kingdom","France",26928.8,26658.5
2000,"United Kingdom","Germany",42230.4,34910.9
2000,"United Kingdom","Italy",14670.7,12799.5
2000,"United Kingdom","Japan",15906.7,6580.3
2000,"United Kingdom","Netherlands",22969.9,19408.1
2000,"United Kingdom","Other Trade",99194.31,85817.51
2000,"United Kingdom","South Korea",5307.39,2575.7
2000,"United Kingdom","Spain",9133.87,10320.2
2000,"United Kingdom","Taiwan",4508.429,1937.265
2000,"United States","Austria",3317,2941.4
2000,"United States","Belgium",10149.9,13282.8
2000,"United States","Canada",229191,169068
2000,"United States","China",119416.6,37045.38
2000,"United States","France",30084.4,24556.8
2000,"United States","Germany",59480.5,42791.4
2000,"United States","Italy",26000.8,12452.8
2000,"United States","Japan",149520,72514
2000,"United States","Mexico",135080,140288
2000,"United States","Netherlands",9954.3,21925.5
2000,"United States","Other Trade",330793.4,203857.2
2000,"United States","South Korea",40911,29286.1
2000,"United States","Spain",6048.1,6607.35
2000,"United States","Taiwan",34814.3,25125.35
2000,"United States","United Kingdom",43676.8,44996.5
2005,"Austria","China",2735.07,2171.51
2005,"Austria","Italy",8446.09,9680.02
2005,"Austria","Japan",1320.36,1325.69
2005,"Austria","Other Trade",26086.53,28838.16
2005,"Austria","South Korea",671.17,644.67
2005,"Austria","Taiwan",366.1922,394.1161
2005,"Belgium","Austria",1952.68,2797.51
2005,"Belgium","China",11496.41,6214.96
2005,"Belgium","France",36294.8,54082.1
2005,"Belgium","Germany",54887.9,38710
2005,"Belgium","Italy",10119.3,17186.8
2005,"Belgium","Japan",8544.41,2125.82
2005,"Belgium","Other Trade",60056.41,58084.8
2005,"Belgium","South Korea",1825.66,966.91
2005,"Belgium","Spain",5792.21,10703.3
2005,"Belgium","Switzerland",2551.5,3849.82
2005,"Belgium","Taiwan",931.0356,597.5719
2005,"Canada","Austria",1169.98,431.26
2005,"Canada","Belgium",1624.46,1339.81
2005,"Canada","China",27368.44,8697.91
2005,"Canada","France",4474.29,2442.69
2005,"Canada","Germany",9289.56,3260.03
2005,"Canada","Italy",4149.2,1725.78
2005,"Canada","Japan",13071.9,8904.55
2005,"Canada","Mexico",13181.1,6786.28
2005,"Canada","Netherlands",1389.37,2109.49
2005,"Canada","Other Trade",49741.01,23166.28
2005,"Canada","South Korea",4863.71,2603.74
2005,"Canada","Spain",1071.38,1134.36
2005,"Canada","Switzerland",1912.48,660.42
2005,"Canada","Taiwan",1672.706,1311.087
2005,"Canada","United Kingdom",9444.5,7696.82
2005,"China","Japan",136913.3,110039.7
2005,"China","Other Trade",154240.4,115780.9
2005,"China","South Korea",92488.11,40697.08
2005,"China","Taiwan",71903.28,21845.79
2005,"France","Austria",4614.14,4777.68
2005,"France","China",18521.44,12576.18
2005,"France","Germany",95345.5,67876.1
2005,"France","Italy",41789.1,38413.3
2005,"France","Japan",7919.25,8507.03
2005,"France","Other Trade",112199.9,113869
